# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: West_1200m
# idx  h_pipe(m)
0 0.00897830
1 0.00563779
2 0.00426881
3 0.00394890
4 0.00534216
5 0.00767298
6 0.01225392
7 0.00643748
8 0.00313556
9 0.00141707
10 0.00089377
11 0.00193794
12 0.00414718
13 0.00798163
14 0.00647978
15 0.00278920
16 0.00078623
17 0.00001683
18 0.00078623
19 0.00278920
20 0.00647978
21 0.00798163
22 0.00414718
23 0.00193794
24 0.00089377
25 0.00141707
26 0.00313556
27 0.00643748
28 0.01225392
29 0.00767298
30 0.00534216
31 0.00394890
32 0.00426881
33 0.00563779
34 0.00897830
