# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 50.7324 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0344407 0.0347316
1 0.0216363 0.0219272
2 0.0152869 0.0155777
3 0.0127498 0.0130406
4 0.0149726 0.0152634
5 0.0214465 0.0217373
6 0.0335598 0.0338507
7 0.0234249 0.0237158
8 0.0116492 0.0119401
9 0.00508491 0.00537577
10 0.00258522 0.00287608
11 0.00495933 0.00525019
12 0.0112865 0.0115774
13 0.0226471 0.022938
14 0.0205908 0.0208817
15 0.00872438 0.00901524
16 0.00205522 0.00234608
17 -0.000290858 0
18 0.00192265 0.00221351
19 0.00849639 0.00878725
20 0.0204117 0.0207026
21 0.0230634 0.0233543
22 0.0113245 0.0116153
23 0.00470469 0.00499554
24 0.00219948 0.00249033
25 0.00475706 0.00504791
26 0.0110243 0.0113151
27 0.0225258 0.0228167
28 0.0336751 0.0339659
29 0.0208408 0.0211317
30 0.0146115 0.0149024
31 0.0120056 0.0122965
32 0.0143348 0.0146256
33 0.0208406 0.0211314
34 0.0336446 0.0339354
