Position,Distance(m),Init_S95(m2),Best_S95(m2),Reduction(%)
North,300.0,51.7462,50.7324,1.96
East,300.0,76.7100,76.3320,0.49
South,300.0,94.9014,94.4746,0.45
West,300.0,76.8345,76.2920,0.71
