# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.292 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0329991 0.0334017
1 0.0202645 0.0206671
2 0.0147372 0.0151398
3 0.013012 0.0134146
4 0.0159182 0.0163208
5 0.0219245 0.0223271
6 0.0353531 0.0357557
7 0.0221006 0.0225032
8 0.0101498 0.0105524
9 0.00452869 0.00493128
10 0.00242736 0.00282995
11 0.00474575 0.00514834
12 0.0108096 0.0112122
13 0.0231484 0.023551
14 0.0199684 0.0203709
15 0.00771654 0.00811913
16 0.0017364 0.00213899
17 -0.000402592 0
18 0.00206374 0.00246633
19 0.00797087 0.00837346
20 0.0201455 0.0205481
21 0.0231584 0.023561
22 0.01094 0.0113426
23 0.00488804 0.00529064
24 0.00252145 0.00292404
25 0.00486376 0.00526635
26 0.01061 0.0110126
27 0.022053 0.0224555
28 0.0357992 0.0362018
29 0.022299 0.0227016
30 0.0161577 0.0165603
31 0.0132172 0.0136197
32 0.0154502 0.0158528
33 0.0208197 0.0212223
34 0.0337602 0.0341628
