# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 94.4746 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0352255 0.0358504
1 0.0219375 0.0225624
2 0.0168435 0.0174684
3 0.0145106 0.0151355
4 0.0166493 0.0172742
5 0.021892 0.0225169
6 0.0345693 0.0351942
7 0.0217724 0.0223973
8 0.00996353 0.0105884
9 0.00495497 0.00557987
10 0.0024888 0.0031137
11 0.00497282 0.00559772
12 0.0098101 0.010435
13 0.0214454 0.0220703
14 0.0186329 0.0192578
15 0.00664436 0.00726926
16 0.0016886 0.0023135
17 -0.000624898 0
18 0.00161037 0.00223527
19 0.00670796 0.00733286
20 0.0188917 0.0195166
21 0.0212199 0.0218448
22 0.00950053 0.0101254
23 0.00436751 0.00499241
24 0.00223736 0.00286226
25 0.00451343 0.00513832
26 0.0100142 0.0106391
27 0.0213848 0.0220097
28 0.0338608 0.0344857
29 0.0211579 0.0217828
30 0.0159976 0.0166225
31 0.0138206 0.0144455
32 0.0161979 0.0168228
33 0.0211418 0.0217667
34 0.0346462 0.0352711
