Position,Distance(m),Init_S95(m2),Best_S95(m2),Reduction(%)
North,300.0,51.7462,50.3722,2.66
East,300.0,76.7100,76.2120,0.65
South,300.0,94.9014,94.2923,0.64
West,300.0,76.8345,76.1186,0.93
