Position,Distance(m),Init_S95(m2),Best_S95(m2),Reduction(%)
North,300.0,51.3060,50.4211,1.72
East,300.0,77.8973,76.2298,2.14
South,300.0,98.3299,94.3590,4.04
West,300.0,78.0707,76.1631,2.44
