x,y,z,ux,uy,uz,usum
     -6.420000,   -2.642186,    3.917203,   0.000113598,  -0.010886728,  -0.007344579,   0.013133034
      6.420000,   -2.642186,    3.917203,  -0.000113598,  -0.010886723,  -0.007344576,   0.013133029
     -6.216190,   -2.642186,    3.917203,   0.000072420,  -0.007502038,  -0.005060212,   0.009049396
     -6.012381,   -2.642186,    3.917203,   0.000037408,  -0.004411597,  -0.002974858,   0.005321031
     -5.808571,   -2.642186,    3.917203,   0.000015275,  -0.002039145,  -0.001373899,   0.002458850
     -5.604762,   -2.642186,    3.917203,   0.000006383,  -0.000651328,  -0.000438274,   0.000785082
     -5.400952,   -2.642186,    3.917203,   0.000004163,  -0.000269438,  -0.000182252,   0.000325315
     -5.197143,   -2.642186,    3.917203,   0.000002021,  -0.000632880,  -0.000428341,   0.000764210
     -4.993333,   -2.642186,    3.917203,   0.000000753,  -0.001362912,  -0.000922127,   0.001645554
     -4.789524,   -2.642186,    3.917203,  -0.000001030,  -0.002078186,  -0.001406042,   0.002509145
     -4.585714,   -2.642186,    3.917203,  -0.000000379,  -0.002564214,  -0.001734334,   0.003095660
     -4.381905,   -2.642186,    3.917203,   0.000001217,  -0.002592567,  -0.001753431,   0.003129845
     -4.178095,   -2.642186,    3.917203,   0.000002170,  -0.002173262,  -0.001470180,   0.002623834
     -3.974286,   -2.642186,    3.917203,   0.000001236,  -0.001551866,  -0.001049868,   0.001873636
     -3.770476,   -2.642186,    3.917203,   0.000000757,  -0.000993591,  -0.000672133,   0.001199578
     -3.566667,   -2.642186,    3.917203,   0.000000321,  -0.000775185,  -0.000524868,   0.000936161
     -3.362857,   -2.642186,    3.917203,  -0.000000264,  -0.001000139,  -0.000676825,   0.001207630
     -3.159048,   -2.642186,    3.917203,  -0.000000651,  -0.001565130,  -0.001059368,   0.001889945
     -2.955238,   -2.642186,    3.917203,  -0.000001721,  -0.002195658,  -0.001486030,   0.002651264
     -2.751429,   -2.642186,    3.917203,  -0.000000749,  -0.002631582,  -0.001780663,   0.003177418
     -2.547619,   -2.642186,    3.917203,   0.000000821,  -0.002632092,  -0.001781003,   0.003178031
     -2.343810,   -2.642186,    3.917203,   0.000001810,  -0.002197319,  -0.001487108,   0.002653244
     -2.140000,   -2.642186,    3.917203,   0.000000784,  -0.001568417,  -0.001061574,   0.001893903
     -1.936190,   -2.642186,    3.917203,   0.000000444,  -0.001005873,  -0.000680634,   0.001214513
     -1.732381,   -2.642186,    3.917203,   0.000000024,  -0.000783027,  -0.000530291,   0.000945696
     -1.528571,   -2.642186,    3.917203,  -0.000000399,  -0.001003040,  -0.000678736,   0.001211103
     -1.324762,   -2.642186,    3.917203,  -0.000000720,  -0.001561917,  -0.001057231,   0.001886087
     -1.120952,   -2.642186,    3.917203,  -0.000001743,  -0.002185784,  -0.001479352,   0.002639344
     -0.917143,   -2.642186,    3.917203,  -0.000000762,  -0.002615228,  -0.001769683,   0.003157720
     -0.713333,   -2.642186,    3.917203,   0.000000772,  -0.002609197,  -0.001765560,   0.003150414
     -0.509524,   -2.642186,    3.917203,   0.000001696,  -0.002176862,  -0.001473378,   0.002628607
     -0.305714,   -2.642186,    3.917203,   0.000000725,  -0.001551826,  -0.001050358,   0.001873877
     -0.101905,   -2.642186,    3.917203,   0.000000624,  -0.001113573,  -0.000754095,   0.001344880
      0.101905,   -2.642186,    3.917203,  -0.000000624,  -0.001113572,  -0.000754095,   0.001344880
      0.305714,   -2.642186,    3.917203,  -0.000000725,  -0.001551825,  -0.001050358,   0.001873877
      0.509524,   -2.642186,    3.917203,  -0.000001696,  -0.002176862,  -0.001473378,   0.002628607
      0.713333,   -2.642186,    3.917203,  -0.000000772,  -0.002609197,  -0.001765559,   0.003150414
      0.917143,   -2.642186,    3.917203,   0.000000762,  -0.002615228,  -0.001769683,   0.003157720
      1.120952,   -2.642186,    3.917203,   0.000001743,  -0.002185784,  -0.001479353,   0.002639345
      1.324762,   -2.642186,    3.917203,   0.000000720,  -0.001561917,  -0.001057231,   0.001886087
      1.528571,   -2.642186,    3.917203,   0.000000399,  -0.001003040,  -0.000678736,   0.001211104
      1.732381,   -2.642186,    3.917203,  -0.000000024,  -0.000783027,  -0.000530291,   0.000945696
      1.936190,   -2.642186,    3.917203,  -0.000000444,  -0.001005872,  -0.000680634,   0.001214513
      2.140000,   -2.642186,    3.917203,  -0.000000784,  -0.001568416,  -0.001061574,   0.001893903
      2.343810,   -2.642186,    3.917203,  -0.000001810,  -0.002197318,  -0.001487108,   0.002653243
      2.547619,   -2.642186,    3.917203,  -0.000000821,  -0.002632092,  -0.001781003,   0.003178031
      2.751429,   -2.642186,    3.917203,   0.000000749,  -0.002631582,  -0.001780663,   0.003177418
      2.955238,   -2.642186,    3.917203,   0.000001721,  -0.002195658,  -0.001486030,   0.002651264
      3.159048,   -2.642186,    3.917203,   0.000000651,  -0.001565130,  -0.001059368,   0.001889945
      3.362857,   -2.642186,    3.917203,   0.000000264,  -0.001000139,  -0.000676825,   0.001207630
      3.566667,   -2.642186,    3.917203,  -0.000000321,  -0.000775185,  -0.000524868,   0.000936161
      3.770476,   -2.642186,    3.917203,  -0.000000757,  -0.000993591,  -0.000672133,   0.001199578
      3.974286,   -2.642186,    3.917203,  -0.000001236,  -0.001551865,  -0.001049868,   0.001873635
      4.178095,   -2.642186,    3.917203,  -0.000002170,  -0.002173262,  -0.001470180,   0.002623834
      4.381905,   -2.642186,    3.917203,  -0.000001217,  -0.002592567,  -0.001753431,   0.003129844
      4.585714,   -2.642186,    3.917203,   0.000000379,  -0.002564214,  -0.001734334,   0.003095660
      4.789524,   -2.642186,    3.917203,   0.000001030,  -0.002078186,  -0.001406042,   0.002509145
      4.993333,   -2.642186,    3.917203,  -0.000000753,  -0.001362912,  -0.000922127,   0.001645554
      5.197143,   -2.642186,    3.917203,  -0.000002021,  -0.000632880,  -0.000428342,   0.000764211
      5.400952,   -2.642186,    3.917203,  -0.000004163,  -0.000269438,  -0.000182252,   0.000325315
      5.604762,   -2.642186,    3.917203,  -0.000006383,  -0.000651328,  -0.000438273,   0.000785081
      5.808571,   -2.642186,    3.917203,  -0.000015275,  -0.002039143,  -0.001373898,   0.002458848
      6.012381,   -2.642186,    3.917203,  -0.000037408,  -0.004411594,  -0.002974856,   0.005321027
      6.216190,   -2.642186,    3.917203,  -0.000072420,  -0.007502034,  -0.005060210,   0.009049391
      6.420000,    2.642186,   -3.917203,  -0.000113654,  -0.010910728,  -0.007357053,   0.013159907
      6.420000,   -2.529753,    3.750514,  -0.000111356,  -0.010742925,  -0.007247225,   0.012959364
      6.420000,   -2.417319,    3.583824,  -0.000110898,  -0.010656393,  -0.007187951,   0.012854480
      6.420000,   -2.304886,    3.417135,  -0.000110965,  -0.010652541,  -0.007182398,   0.012848182
      6.420000,   -2.192452,    3.250445,  -0.000112360,  -0.010783550,  -0.007268149,   0.013004752
      6.420000,   -2.080019,    3.083756,  -0.000114092,  -0.011038793,  -0.007436927,   0.013310742
      6.420000,   -1.967585,    2.917066,  -0.000115384,  -0.011341032,  -0.007640465,   0.013675124
      6.420000,   -1.855152,    2.750377,  -0.000116307,  -0.011619409,  -0.007829534,   0.014011631
      6.420000,   -1.742718,    2.583687,  -0.000116540,  -0.011775109,  -0.007939241,   0.014202053
      6.420000,   -1.630285,    2.416998,  -0.000116453,  -0.011767715,  -0.007938953,   0.014195762
      6.420000,   -1.517852,    2.250308,  -0.000116224,  -0.011603508,  -0.007832655,   0.014000192
      6.420000,   -1.405418,    2.083619,  -0.000115367,  -0.011333694,  -0.007651522,   0.013675223
      6.420000,   -1.292985,    1.916929,  -0.000114726,  -0.011072380,  -0.007474308,   0.013359492
      6.420000,   -1.180551,    1.750240,  -0.000113884,  -0.010903629,  -0.007356003,   0.013153436
      6.420000,   -1.068118,    1.583550,  -0.000113936,  -0.010907730,  -0.007355152,   0.013156360
      6.420000,   -0.955684,    1.416861,  -0.000114922,  -0.011084443,  -0.007469885,   0.013367022
