x,y,z,ux,uy,uz,usum
     -6.420000,   -4.091970,    2.362500,   0.000036467,  -0.003611854,  -0.006254321,   0.007222420
      6.420000,   -4.091970,    2.362500,  -0.000036467,  -0.003611855,  -0.006254321,   0.007222420
     -6.216190,   -4.091970,    2.362500,   0.000021883,  -0.002393606,  -0.004144672,   0.004786245
     -6.012381,   -4.091970,    2.362500,   0.000009220,  -0.001259435,  -0.002180622,   0.002518208
     -5.808571,   -4.091970,    2.362500,   0.000002271,  -0.000431206,  -0.000746214,   0.000861846
     -5.604762,   -4.091970,    2.362500,   0.000000409,  -0.000022805,  -0.000039218,   0.000045368
     -5.400952,   -4.091970,    2.362500,   0.000000179,   0.000067490,   0.000116828,   0.000134921
     -5.197143,   -4.091970,    2.362500,   0.000000337,  -0.000042203,  -0.000073232,   0.000084523
     -4.993333,   -4.091970,    2.362500,  -0.000000007,  -0.000230062,  -0.000398877,   0.000460469
     -4.789524,   -4.091970,    2.362500,  -0.000000317,  -0.000490182,  -0.000849478,   0.000980761
     -4.585714,   -4.091970,    2.362500,  -0.000000247,  -0.000686262,  -0.001189247,   0.001373049
     -4.381905,   -4.091970,    2.362500,   0.000000256,  -0.000685320,  -0.001187603,   0.001371155
     -4.178095,   -4.091970,    2.362500,   0.000000324,  -0.000488047,  -0.000845747,   0.000976462
     -3.974286,   -4.091970,    2.362500,   0.000000013,  -0.000226332,  -0.000392373,   0.000452971
     -3.770476,   -4.091970,    2.362500,  -0.000000295,  -0.000041442,  -0.000071932,   0.000083017
     -3.566667,   -4.091970,    2.362500,   0.000000006,   0.000032237,   0.000055995,   0.000064611
     -3.362857,   -4.091970,    2.362500,   0.000000319,  -0.000041296,  -0.000071708,   0.000082749
     -3.159048,   -4.091970,    2.362500,   0.000000009,  -0.000225939,  -0.000391746,   0.000452231
     -2.955238,   -4.091970,    2.362500,  -0.000000297,  -0.000487130,  -0.000844267,   0.000974721
     -2.751429,   -4.091970,    2.362500,  -0.000000251,  -0.000683754,  -0.001185001,   0.001368119
     -2.547619,   -4.091970,    2.362500,   0.000000251,  -0.000683751,  -0.001184995,   0.001368112
     -2.343810,   -4.091970,    2.362500,   0.000000297,  -0.000487120,  -0.000844248,   0.000974700
     -2.140000,   -4.091970,    2.362500,  -0.000000009,  -0.000225925,  -0.000391720,   0.000452202
     -1.936190,   -4.091970,    2.362500,  -0.000000317,  -0.000041295,  -0.000071708,   0.000082749
     -1.732381,   -4.091970,    2.362500,   0.000000001,   0.000032261,   0.000056047,   0.000064669
     -1.528571,   -4.091970,    2.362500,   0.000000320,  -0.000041195,  -0.000071536,   0.000082550
     -1.324762,   -4.091970,    2.362500,   0.000000011,  -0.000225936,  -0.000391737,   0.000452222
     -1.120952,   -4.091970,    2.362500,  -0.000000291,  -0.000487178,  -0.000844345,   0.000974813
     -0.917143,   -4.091970,    2.362500,  -0.000000242,  -0.000684003,  -0.001185415,   0.001368601
     -0.713333,   -4.091970,    2.362500,   0.000000261,  -0.000683173,  -0.001183969,   0.001366934
     -0.509524,   -4.091970,    2.362500,   0.000000320,  -0.000485256,  -0.000840978,   0.000970936
     -0.305714,   -4.091970,    2.362500,  -0.000000015,  -0.000218716,  -0.000379189,   0.000437746
     -0.101905,   -4.091970,    2.362500,  -0.000000262,  -0.000018434,  -0.000031995,   0.000036927
      0.101905,   -4.091970,    2.362500,   0.000000262,  -0.000018434,  -0.000031995,   0.000036927
      0.305714,   -4.091970,    2.362500,   0.000000015,  -0.000218716,  -0.000379189,   0.000437746
      0.509524,   -4.091970,    2.362500,  -0.000000320,  -0.000485256,  -0.000840978,   0.000970936
      0.713333,   -4.091970,    2.362500,  -0.000000261,  -0.000683173,  -0.001183969,   0.001366934
      0.917143,   -4.091970,    2.362500,   0.000000242,  -0.000684003,  -0.001185415,   0.001368601
