x,y,z,ux,uy,uz,usum
     -6.420000,   -2.071304,    4.246802,   0.000139178,  -0.014187202,  -0.006939292,   0.015793981
      6.420000,   -2.071304,    4.246802,  -0.000139178,  -0.014187181,  -0.006939282,   0.015793958
     -6.216190,   -2.071304,    4.246802,   0.000095654,  -0.010413869,  -0.005091752,   0.011592401
     -6.012381,   -2.071304,    4.246802,   0.000057485,  -0.006964766,  -0.003402975,   0.007751871
     -5.808571,   -2.071304,    4.246802,   0.000031243,  -0.004203885,  -0.002052801,   0.004678420
     -5.604762,   -2.071304,    4.246802,   0.000018279,  -0.002561398,  -0.001251074,   0.002850663
     -5.400952,   -2.071304,    4.246802,   0.000012631,  -0.002148763,  -0.001051945,   0.002392474
     -5.197143,   -2.071304,    4.246802,   0.000008409,  -0.002680958,  -0.001316729,   0.002986869
     -4.993333,   -2.071304,    4.246802,   0.000002284,  -0.003702627,  -0.001820373,   0.004125919
     -4.789524,   -2.071304,    4.246802,   0.000000203,  -0.004736061,  -0.002329248,   0.005277847
     -4.585714,   -2.071304,    4.246802,  -0.000000079,  -0.005412895,  -0.002662787,   0.006032401
     -4.381905,   -2.071304,    4.246802,   0.000003000,  -0.005621156,  -0.002765732,   0.006264717
     -4.178095,   -2.071304,    4.246802,   0.000004623,  -0.005392155,  -0.002654414,   0.006010097
     -3.974286,   -2.071304,    4.246802,   0.000005157,  -0.004893062,  -0.002409790,   0.005454280
     -3.770476,   -2.071304,    4.246802,   0.000003120,  -0.004433870,  -0.002184976,   0.004943009
     -3.566667,   -2.071304,    4.246802,   0.000000816,  -0.004275274,  -0.002106997,   0.004766278
     -3.362857,   -2.071304,    4.246802,  -0.000001338,  -0.004499399,  -0.002217974,   0.005016374
     -3.159048,   -2.071304,    4.246802,  -0.000003737,  -0.005029915,  -0.002478758,   0.005607522
     -2.955238,   -2.071304,    4.246802,  -0.000003301,  -0.005620603,  -0.002769054,   0.006265688
     -2.751429,   -2.071304,    4.246802,  -0.000001658,  -0.005986759,  -0.002948742,   0.006673557
     -2.547619,   -2.071304,    4.246802,   0.000001975,  -0.005994500,  -0.002952548,   0.006682183
     -2.343810,   -2.071304,    4.246802,   0.000003725,  -0.005645496,  -0.002781413,   0.006293480
     -2.140000,   -2.071304,    4.246802,   0.000004274,  -0.005076231,  -0.002501735,   0.005659224
     -1.936190,   -2.071304,    4.246802,   0.000002150,  -0.004573753,  -0.002255033,   0.005099451
     -1.732381,   -2.071304,    4.246802,   0.000000045,  -0.004382116,  -0.002160387,   0.004885715
     -1.528571,   -2.071304,    4.246802,  -0.000002068,  -0.004579799,  -0.002258112,   0.005106235
     -1.324762,   -2.071304,    4.246802,  -0.000004216,  -0.005087835,  -0.002507653,   0.005672249
     -1.120952,   -2.071304,    4.246802,  -0.000003741,  -0.005664758,  -0.002791230,   0.006315098
     -0.917143,   -2.071304,    4.246802,  -0.000002023,  -0.006022483,  -0.002966726,   0.006713551
     -0.713333,   -2.071304,    4.246802,   0.000001457,  -0.006038889,  -0.002974971,   0.006731912
     -0.509524,   -2.071304,    4.246802,   0.000003138,  -0.005707952,  -0.002812618,   0.006363297
     -0.305714,   -2.071304,    4.246802,   0.000003448,  -0.005232854,  -0.002579892,   0.005834262
     -0.101905,   -2.071304,    4.246802,   0.000000717,  -0.004888895,  -0.002410719,   0.005450950
      0.101905,   -2.071304,    4.246802,  -0.000000717,  -0.004888894,  -0.002410718,   0.005450949
      0.305714,   -2.071304,    4.246802,  -0.000003448,  -0.005232851,  -0.002579890,   0.005834259
      0.509524,   -2.071304,    4.246802,  -0.000003138,  -0.005707950,  -0.002812617,   0.006363294
      0.713333,   -2.071304,    4.246802,  -0.000001457,  -0.006038888,  -0.002974970,   0.006731910
      0.917143,   -2.071304,    4.246802,   0.000002023,  -0.006022484,  -0.002966726,   0.006713552
      1.120952,   -2.071304,    4.246802,   0.000003741,  -0.005664760,  -0.002791231,   0.006315100
      1.324762,   -2.071304,    4.246802,   0.000004216,  -0.005087837,  -0.002507654,   0.005672251
      1.528571,   -2.071304,    4.246802,   0.000002068,  -0.004579800,  -0.002258113,   0.005106236
      1.732381,   -2.071304,    4.246802,  -0.000000045,  -0.004382116,  -0.002160387,   0.004885715
      1.936190,   -2.071304,    4.246802,  -0.000002150,  -0.004573752,  -0.002255033,   0.005099449
      2.140000,   -2.071304,    4.246802,  -0.000004274,  -0.005076228,  -0.002501734,   0.005659221
      2.343810,   -2.071304,    4.246802,  -0.000003725,  -0.005645494,  -0.002781412,   0.006293478
      2.547619,   -2.071304,    4.246802,  -0.000001975,  -0.005994499,  -0.002952547,   0.006682182
      2.751429,   -2.071304,    4.246802,   0.000001658,  -0.005986760,  -0.002948742,   0.006673558
      2.955238,   -2.071304,    4.246802,   0.000003301,  -0.005620605,  -0.002769055,   0.006265691
      3.159048,   -2.071304,    4.246802,   0.000003737,  -0.005029918,  -0.002478760,   0.005607525
      3.362857,   -2.071304,    4.246802,   0.000001338,  -0.004499401,  -0.002217975,   0.005016375
