x,y,z,ux,uy,uz,usum
     -6.420000,   -1.143081,    4.584647,   0.000153019,  -0.015950633,  -0.003994416,   0.016443888
      6.420000,   -1.143081,    4.584647,  -0.000153019,  -0.015950630,  -0.003994415,   0.016443886
     -6.216190,   -1.143081,    4.584647,   0.000104775,  -0.011662471,  -0.002918611,   0.012022583
     -6.012381,   -1.143081,    4.584647,   0.000062589,  -0.007742208,  -0.001935165,   0.007980637
     -5.808571,   -1.143081,    4.584647,   0.000033803,  -0.004616432,  -0.001152611,   0.004758267
     -5.604762,   -1.143081,    4.584647,   0.000019976,  -0.002784657,  -0.000695661,   0.002870306
     -5.400952,   -1.143081,    4.584647,   0.000014021,  -0.002368764,  -0.000594356,   0.002442232
     -5.197143,   -1.143081,    4.584647,   0.000009401,  -0.003026369,  -0.000763964,   0.003121320
     -4.993333,   -1.143081,    4.584647,   0.000002498,  -0.004221275,  -0.001067588,   0.004354184
     -4.789524,   -1.143081,    4.584647,   0.000000225,  -0.005408424,  -0.001368721,   0.005578929
     -4.585714,   -1.143081,    4.584647,  -0.000000112,  -0.006181359,  -0.001565054,   0.006376409
     -4.381905,   -1.143081,    4.584647,   0.000003331,  -0.006422423,  -0.001626588,   0.006625203
     -4.178095,   -1.143081,    4.584647,   0.000005131,  -0.006174357,  -0.001565225,   0.006369665
     -3.974286,   -1.143081,    4.584647,   0.000005785,  -0.005622931,  -0.001426532,   0.005801067
     -3.770476,   -1.143081,    4.584647,   0.000003590,  -0.005115624,  -0.001299321,   0.005278054
     -3.566667,   -1.143081,    4.584647,   0.000001039,  -0.004945793,  -0.001256409,   0.005102885
     -3.362857,   -1.143081,    4.584647,  -0.000001325,  -0.005203562,  -0.001322569,   0.005369008
     -3.159048,   -1.143081,    4.584647,  -0.000004016,  -0.005804383,  -0.001474584,   0.005988763
     -2.955238,   -1.143081,    4.584647,  -0.000003540,  -0.006470313,  -0.001643021,   0.006675664
     -2.751429,   -1.143081,    4.584647,  -0.000001785,  -0.006883054,  -0.001747123,   0.007101329
     -2.547619,   -1.143081,    4.584647,   0.000002181,  -0.006895965,  -0.001750400,   0.007114649
     -2.343810,   -1.143081,    4.584647,   0.000004083,  -0.006509445,  -0.001653079,   0.006716068
     -2.140000,   -1.143081,    4.584647,   0.000004724,  -0.005875492,  -0.001492856,   0.006062181
     -1.936190,   -1.143081,    4.584647,   0.000002397,  -0.005315758,  -0.001351626,   0.005484905
     -1.732381,   -1.143081,    4.584647,   0.000000087,  -0.005102354,  -0.001297149,   0.005264656
     -1.528571,   -1.143081,    4.584647,  -0.000002213,  -0.005326174,  -0.001354413,   0.005495686
     -1.324762,   -1.143081,    4.584647,  -0.000004590,  -0.005894926,  -0.001498073,   0.006082302
     -1.120952,   -1.143081,    4.584647,  -0.000004020,  -0.006537692,  -0.001660678,   0.006745316
     -0.917143,   -1.143081,    4.584647,  -0.000002160,  -0.006933810,  -0.001760510,   0.007153819
     -0.713333,   -1.143081,    4.584647,   0.000001636,  -0.006945697,  -0.001763684,   0.007166121
     -0.509524,   -1.143081,    4.584647,   0.000003444,  -0.006572437,  -0.001669562,   0.006781178
     -0.305714,   -1.143081,    4.584647,   0.000003808,  -0.006036578,  -0.001534841,   0.006228645
     -0.101905,   -1.143081,    4.584647,   0.000000756,  -0.005650152,  -0.001436971,   0.005830018
      0.101905,   -1.143081,    4.584647,  -0.000000756,  -0.005650151,  -0.001436971,   0.005830016
      0.305714,   -1.143081,    4.584647,  -0.000003808,  -0.006036575,  -0.001534840,   0.006228642
      0.509524,   -1.143081,    4.584647,  -0.000003444,  -0.006572434,  -0.001669561,   0.006781175
      0.713333,   -1.143081,    4.584647,  -0.000001636,  -0.006945695,  -0.001763684,   0.007166119
      0.917143,   -1.143081,    4.584647,   0.000002160,  -0.006933811,  -0.001760510,   0.007153820
      1.120952,   -1.143081,    4.584647,   0.000004020,  -0.006537695,  -0.001660679,   0.006745319
      1.324762,   -1.143081,    4.584647,   0.000004590,  -0.005894929,  -0.001498074,   0.006082305
      1.528571,   -1.143081,    4.584647,   0.000002213,  -0.005326176,  -0.001354413,   0.005495688
      1.732381,   -1.143081,    4.584647,  -0.000000087,  -0.005102353,  -0.001297149,   0.005264656
      1.936190,   -1.143081,    4.584647,  -0.000002397,  -0.005315756,  -0.001351625,   0.005484902
      2.140000,   -1.143081,    4.584647,  -0.000004724,  -0.005875488,  -0.001492855,   0.006062178
      2.343810,   -1.143081,    4.584647,  -0.000004083,  -0.006509442,  -0.001653078,   0.006716065
      2.547619,   -1.143081,    4.584647,  -0.000002181,  -0.006895964,  -0.001750400,   0.007114648
      2.751429,   -1.143081,    4.584647,   0.000001785,  -0.006883055,  -0.001747123,   0.007101330
      2.955238,   -1.143081,    4.584647,   0.000003540,  -0.006470316,  -0.001643021,   0.006675667
      3.159048,   -1.143081,    4.584647,   0.000004016,  -0.005804387,  -0.001474585,   0.005988766
      3.362857,   -1.143081,    4.584647,   0.000001325,  -0.005203564,  -0.001322570,   0.005369010
      3.566667,   -1.143081,    4.584647,  -0.000001039,  -0.004945792,  -0.001256409,   0.005102884
      3.770476,   -1.143081,    4.584647,  -0.000003590,  -0.005115622,  -0.001299320,   0.005278052
      3.974286,   -1.143081,    4.584647,  -0.000005785,  -0.005622928,  -0.001426531,   0.005801064
      4.178095,   -1.143081,    4.584647,  -0.000005131,  -0.006174354,  -0.001565224,   0.006369662
      4.381905,   -1.143081,    4.584647,  -0.000003331,  -0.006422423,  -0.001626588,   0.006625203
      4.585714,   -1.143081,    4.584647,   0.000000112,  -0.006181362,  -0.001565055,   0.006376412
      4.789524,   -1.143081,    4.584647,  -0.000000225,  -0.005408429,  -0.001368722,   0.005578934
      4.993333,   -1.143081,    4.584647,  -0.000002498,  -0.004221283,  -0.001067590,   0.004354191
      5.197143,   -1.143081,    4.584647,  -0.000009401,  -0.003026376,  -0.000763966,   0.003121327
      5.400952,   -1.143081,    4.584647,  -0.000014021,  -0.002368769,  -0.000594357,   0.002442237
      5.604762,   -1.143081,    4.584647,  -0.000019976,  -0.002784659,  -0.000695662,   0.002870308
      5.808571,   -1.143081,    4.584647,  -0.000033803,  -0.004616431,  -0.001152611,   0.004758265
      6.012381,   -1.143081,    4.584647,  -0.000062588,  -0.007742204,  -0.001935164,   0.007980633
      6.216190,   -1.143081,    4.584647,  -0.000104775,  -0.011662467,  -0.002918610,   0.012022579
      6.420000,    1.143081,   -4.584647,  -0.000153016,  -0.015979592,  -0.003966063,   0.016465127
      6.420000,   -1.094439,    4.389556,  -0.000145382,  -0.015275999,  -0.003825090,   0.015748289
      6.420000,   -1.045798,    4.194464,  -0.000139824,  -0.014672950,  -0.003671581,   0.015125988
      6.420000,   -0.997156,    3.999373,  -0.000136581,  -0.014265243,  -0.003565100,   0.014704616
      6.420000,   -0.948514,    3.804282,  -0.000135491,  -0.014118229,  -0.003522610,   0.014551685
      6.420000,   -0.899872,    3.609190,  -0.000136430,  -0.014297714,  -0.003561189,   0.014735173
